Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,31,21,12,15,17,8,14,22,10,18,12
Angola,10,7,5,12,2,6,8,5,3,6,5
Benin,8,9,8,10,5,10,4,5,7,9,9
Botswana,13,14,7,7,13,14,6,5,8,12,2
Burkina Faso,16,13,19,15,12,11,12,7,7,6,11
Burundi,2,2,6,4,2,2,7,4,4,1,0
Cameroon,71,67,74,79,67,72,66,2,1,2,0
Cape Verde,2,0,0,0,1,0,0,72,56,52,46
Central African Republic,0,0,0,0,0,0,1,0,0,0,0
Chad,8,8,11,7,3,2,1,0,0,0,2
Comoros,0,0,0,0,0,0,0,0,0,1,0
"Congo, Republic",26,20,14,14,13,16,10,9,11,11,9
"Congo, the Democratic Republic of the",1,2,2,2,1,2,1,0,1,2,1
Cote d'Ivoire,52,36,23,34,23,24,25,22,27,22,22
Djibouti,0,0,0,0,0,0,0,0,0,0,0
Egypt,282,235,260,228,273,273,228,258,256,225,197
Equatorial Guinea,1,4,1,0,0,2,1,1,0,1,0
Eritrea,3,2,4,3,2,3,2,4,2,4,2
Ethiopia,39,34,61,42,35,49,30,36,45,36,41
Gabon,5,7,6,6,10,7,6,7,6,4,6
Gambia,6,10,2,2,3,2,4,6,1,4,3
Ghana,232,184,176,219,170,153,143,127,118,133,118
Guinea,5,4,6,2,6,4,3,2,3,1,1
Guinea-Bissau,3,0,1,0,0,0,0,0,1,0,0
Kenya,363,278,281,259,219,248,178,153,157,130,105
Lesotho,5,1,1,4,1,3,3,2,0,2,1
Liberia,3,8,6,5,3,4,2,1,0,1,0
Libya,10,2,6,5,9,13,16,17,22,30,17
Madagascar,6,11,9,13,13,17,17,22,16,5,12
Malawi,8,8,8,9,9,2,5,7,2,10,3
Mali,11,11,13,14,6,6,8,9,5,7,2
Mauritania,0,0,5,2,3,1,3,2,0,3,3
Mauritius,37,26,30,26,27,18,25,27,25,28,18
Morocco,102,93,81,68,69,70,69,58,65,46,33
Mozambique,1,0,1,1,3,2,3,2,5,4,4
Namibia,3,4,1,6,7,3,6,5,7,3,3
Niger,11,8,9,8,6,4,3,2,2,4,3
Nigeria,547,501,546,517,509,483,456,469,411,402,354
Rwanda,7,3,7,10,7,8,10,8,23,16,10
Sao Tome and Principe,0,0,0,1,0,0,0,0,1,0,0
Senegal,61,62,62,54,54,40,52,34,38,27,16
Seychelles,0,0,0,2,1,0,0,0,0,1,0
Sierra Leone,15,9,6,6,11,7,4,3,5,2,3
Somalia,0,0,0,0,0,0,0,0,0,1,0
South Africa,580,425,381,397,378,397,312,248,268,194,187
South Sudan,0,0,0,0,0,1,2,3,2,2,0
Sudan,16,10,12,13,19,15,15,11,9,21,21
Swaziland,5,2,3,2,5,3,4,5,8,3,5
Tanzania,76,71,60,69,48,57,49,41,42,38,25
Togo,10,13,5,15,7,6,6,3,8,6,6
Tunisia,34,32,41,28,16,39,21,21,17,24,12
Uganda,43,43,40,32,34,51,24,36,43,40,27
Zambia,29,14,21,22,20,15,20,16,11,12,13
Zimbabwe,125,87,92,92,102,98,77,71,71,78,53
Afghanistan,3,1,1,0,8,14,9,10,3,4,4
Bahrain,9,4,4,8,4,12,5,12,8,11,5
Bangladesh,335,252,213,158,163,181,189,188,231,269,182
Bhutan,1,1,3,1,3,4,5,8,10,6,6
Brunei,1,0,0,1,2,1,2,0,3,1,2
Burma,53,47,39,47,40,48,35,33,27,31,22
Cambodia,9,5,6,13,12,14,17,11,12,12,10
China,"10,761","9,141","9,223","11,242","10,849","11,077","12,632","14,871","18,306","21,657","22,993"
Taiwan,"2,506","1,945","2,057","2,061","1,705","1,692","1,560","1,505","1,448","1,425","1,261"
Hong Kong,442,299,283,331,269,292,268,254,209,215,212
India,"83,464","72,517","55,886","58,664","72,438","80,630","99,705","108,817","119,952","126,692","129,097"
Indonesia,"1,007",783,694,748,674,609,509,453,424,350,316
Iran,171,130,129,137,170,164,160,170,177,144,95
Iraq,42,16,10,8,11,12,7,12,13,12,7
Israel,"1,075",829,758,786,774,754,661,597,532,445,394
Japan,"3,516","2,610","2,505","2,430","2,054","1,907","1,698","1,369","1,146","1,011",765
Jordan,257,245,218,211,208,225,218,232,213,223,150
North Korea,0,0,0,0,0,0,0,0,0,0,0
South Korea,"3,788","3,257","3,233","3,656","3,501","3,131","3,000","2,727","2,526","2,377","1,939"
Kuwait,8,6,5,6,6,15,11,8,8,10,23
Laos,3,1,0,1,1,0,2,2,1,0,0
Lebanon,368,369,342,295,267,256,210,227,184,176,154
Macao,29,15,15,21,12,19,15,17,14,22,21
Malaysia,926,709,603,648,556,523,493,443,354,343,276
Maldives,2,2,0,2,3,2,2,1,3,7,2
Mongolia,25,40,32,42,31,26,28,24,19,28,24
Nepal,446,455,466,488,516,524,512,585,554,509,404
Oman,5,8,4,7,7,5,6,2,7,1,5
Pakistan,"1,233",926,838,693,592,613,636,670,609,601,491
"Palestinian Territory, Occupied",19,15,18,21,17,29,24,18,17,27,15
Philippines,"4,279","3,998","3,676","3,173","2,369","2,026","2,160","1,700","1,432","1,455","1,328"
Qatar,1,0,1,0,2,0,2,1,0,3,1
Saudi Arabia,18,13,24,18,25,42,44,51,64,69,72
Singapore,532,473,380,483,394,375,330,348,333,330,369
Sri Lanka,336,256,233,236,228,214,244,234,219,185,137
Syria,95,89,97,76,81,59,60,40,33,33,9
Thailand,534,433,375,408,330,284,302,245,239,209,201
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,2,2,4,2,0,4,3,1,1,6,2
Vietnam,202,228,264,305,321,341,387,426,457,464,493
Yemen,13,5,9,8,7,4,0,2,0,3,4
Albania,92,81,81,75,69,59,42,59,56,43,26
Andorra,0,0,1,1,0,1,1,1,1,0,1
Armenia,64,50,38,47,52,58,44,59,53,42,26
Austria,218,165,156,169,182,153,146,108,138,105,96
Azerbaijan,34,36,29,38,41,38,44,45,38,31,22
Belarus,131,90,96,93,117,139,134,96,89,66,65
Belgium,243,175,163,167,225,195,159,157,162,140,103
Bosnia and Herzegovina,69,47,45,33,30,32,30,35,29,22,27
Bulgaria,529,411,382,376,352,330,265,233,204,163,115
Croatia,133,84,85,78,70,70,74,68,58,61,42
Cyprus,74,65,52,53,43,49,40,40,37,36,34
Czech Republic,162,127,124,119,122,125,94,79,86,62,60
Denmark,208,153,119,157,182,146,130,133,81,80,64
Estonia,44,29,30,16,29,21,22,18,16,19,13
Finland,103,76,70,101,126,95,86,86,82,62,62
France,"2,190","1,770","1,662","1,951","2,069","1,855","1,782","1,709","1,594","1,479","1,207"
Georgia,68,48,50,51,50,40,27,25,40,31,24
Germany,"2,100","1,674","1,523","1,639","1,627","1,446","1,274","1,213","1,091","1,061",865
United Kingdom,"4,475","3,082","2,901","3,553","3,660","3,019","2,699","2,509","2,111","1,769","1,477"
Greece,338,324,289,293,334,318,374,341,338,364,316
Hungary,186,192,154,150,156,160,147,139,113,122,68
Iceland,39,23,44,42,42,41,49,33,36,25,21
Ireland,633,477,454,616,671,699,694,651,597,549,437
Italy,974,865,867,"1,068","1,095","1,165","1,086","1,030",971,896,803
Kazakhstan,76,61,43,61,72,76,72,64,68,55,52
Kosovo,0,2,12,16,11,14,12,15,16,11,11
Kyrgyzstan,22,23,24,29,16,21,23,24,15,11,7
Latvia,54,51,41,38,41,52,42,29,32,24,20
Liechtenstein,0,0,1,0,2,1,3,1,0,3,0
Lithuania,118,85,71,92,70,60,59,47,37,29,21
Luxembourg,8,1,3,2,7,8,3,6,9,6,4
Macedonia,33,31,30,31,26,38,36,31,25,27,20
Malta,8,6,3,7,4,7,5,6,4,4,2
Moldova,79,64,56,71,73,56,49,33,39,31,26
Monaco,1,1,1,0,1,3,1,1,2,0,1
Montenegro,0,5,7,10,17,20,11,14,15,14,19
Netherlands,516,344,344,405,437,374,289,287,259,252,222
Norway,120,94,82,95,98,86,62,68,56,56,61
Poland,541,417,377,379,372,389,308,287,252,207,196
Portugal,162,149,127,187,192,207,185,168,188,157,114
Romania,603,500,419,415,411,381,327,291,227,196,147
Russia,"1,150",752,695,692,883,914,878,735,690,672,542
San Marino,0,1,0,0,1,0,1,1,0,0,0
Serbia,0,12,125,212,224,248,229,214,193,169,136
Serbia and Montenegro,343,266,114,22,0,0,0,0,0,0,0
Slovakia,169,133,86,101,114,82,84,80,68,49,52
Slovenia,31,22,32,17,22,26,28,33,29,24,27
Spain,879,775,776,809,962,885,888,977,891,809,748
Sweden,422,323,293,320,339,360,266,242,221,202,151
Switzerland,330,229,222,234,268,233,163,167,176,162,135
Tajikistan,6,9,11,13,8,15,8,14,12,9,8
Turkey,"1,606","1,362","1,466","1,421","1,332","1,168","1,080","1,040",902,731,560
Turkmenistan,10,22,19,20,24,22,23,11,14,4,7
Ukraine,307,271,220,292,352,393,349,311,326,277,256
Uzbekistan,38,41,43,64,48,58,46,45,39,31,24
Vatican City,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,17,12,9,12,10,8,8,5,4,10,8
Bahamas,176,170,122,140,142,134,118,113,104,102,99
