Country,year2017,year2016,year2015,year2014,year2013,year2012,year2011,year2010,year2009,year2008,year2007
Algeria,12,18,10,22,14,8,17,15,12,21,31
Angola,5,6,3,5,8,6,2,12,5,7,10
Benin,9,9,7,5,4,10,5,10,8,9,8
Botswana,2,12,8,5,6,14,13,7,7,14,13
Burkina Faso,11,6,7,7,12,11,12,15,19,13,16
Burundi,0,1,4,4,7,2,2,4,6,2,2
Cabo Verde,0,2,1,2,66,72,67,79,74,67,71
Cameroon,46,52,56,72,0,0,1,0,0,0,2
Central African Republic,0,0,0,0,1,0,0,0,0,0,0
Chad,2,0,0,0,1,2,3,7,11,8,8
Comoros,0,1,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep. of the (Kinshasa)",9,11,11,9,10,16,13,14,14,20,26
"Congo, Rep. of the (Brazzaville)",1,2,1,0,1,2,1,2,2,2,1
Cote d'Ivoire,22,22,27,22,25,24,23,34,23,36,52
Djibouti,0,0,0,0,0,0,0,0,0,0,0
Egypt,197,225,256,258,228,273,273,228,260,235,282
Equatorial Guinea,0,1,0,1,1,2,0,0,1,4,1
Eritrea,2,4,2,4,2,3,2,3,4,2,3
Ethiopia,41,36,45,36,30,49,35,42,61,34,39
Gabon,6,4,6,7,6,7,10,6,6,7,5
"Gambia, The",3,4,1,6,4,2,3,2,2,10,6
Ghana,118,133,118,127,143,153,170,219,176,184,232
Guinea,1,1,3,2,3,4,6,2,6,4,5
Guinea-Bissau,0,0,1,0,0,0,0,0,1,0,3
Kenya,105,130,157,153,178,248,219,259,281,278,363
Lesotho,1,2,0,2,3,3,1,4,1,1,5
Liberia,0,1,0,1,2,4,3,5,6,8,3
Libya,17,30,22,17,16,13,9,5,6,2,10
Madagascar,12,5,16,22,17,17,13,13,9,11,6
Malawi,3,10,2,7,5,2,9,9,8,8,8
Mali,2,7,5,9,8,6,6,14,13,11,11
Mauritania,3,3,0,2,3,1,3,2,5,0,0
Mauritius,18,28,25,27,25,18,27,26,30,26,37
Morocco,33,46,65,58,69,70,69,68,81,93,102
Mozambique,4,4,5,2,3,2,3,1,1,0,1
Namibia,3,3,7,5,6,3,7,6,1,4,3
Niger,3,4,2,2,3,4,6,8,9,8,11
Nigeria,354,402,411,469,456,483,509,517,546,501,547
Rwanda,10,16,23,8,10,8,7,10,7,3,7
Sao Tome and Principe,0,0,1,0,0,0,0,1,0,0,0
Senegal,16,27,38,34,52,40,54,54,62,62,61
Seychelles,0,1,0,0,0,0,1,2,0,0,0
Sierra Leone,3,2,5,3,4,7,11,6,6,9,15
Somalia,0,1,0,0,0,0,0,0,0,0,0
South Africa,187,194,268,248,312,397,378,397,381,425,580
South Sudan,0,2,2,3,2,1,0,13,12,10,16
Sudan,21,21,9,11,15,15,19,2,3,2,5
Swaziland,5,3,8,5,4,3,5,69,60,71,76
Tanzania,25,38,42,41,49,57,48,15,5,13,10
Togo,6,6,8,3,6,6,7,28,41,32,34
Tunisia,12,24,17,21,21,39,16,32,40,43,43
Uganda,27,40,43,36,24,51,34,22,21,14,29
Zambia,13,12,11,16,20,15,20,92,92,87,125
Zimbabwe,53,78,71,71,77,98,102,,,,
Afghanistan,4,4,3,10,9,14,8,8,4,4,9
Bahrain,5,11,8,12,5,12,4,158,213,252,335
Bangladesh,182,269,231,188,189,181,163,1,3,1,1
Bhutan,6,6,10,8,5,4,3,1,0,0,1
