Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Region
Algeria,31,21,12,15,17,8,14,22,10,18,12,Africa
Angola,10,7,5,12,2,6,8,5,3,6,5,Africa
Benin,8,9,8,10,5,10,4,5,7,9,9,Africa
Botswana,13,14,7,7,13,14,6,5,8,12,2,Africa
Burkina Faso,16,13,19,15,12,11,12,7,7,6,11,Africa
Burundi,2,2,6,4,2,2,7,4,4,1,0,Africa
Cameroon,71,67,74,79,67,72,66,2,1,2,0,Africa
Cape Verde,2,0,0,0,1,0,0,72,56,52,46,Africa
Central African Republic,0,0,0,0,0,0,1,0,0,0,0,Africa
Chad,8,8,11,7,3,2,1,0,0,0,2,Africa
Comoros,0,0,0,0,0,0,0,0,0,1,0,Africa
"Congo, Republic",26,20,14,14,13,16,10,9,11,11,9,Africa
"Congo, the Democratic Republic of the",1,2,2,2,1,2,1,0,1,2,1,Africa
Cote d'Ivoire,52,36,23,34,23,24,25,22,27,22,22,Africa
Djibouti,0,0,0,0,0,0,0,0,0,0,0,Africa
Egypt,282,235,260,228,273,273,228,258,256,225,197,Africa
Equatorial Guinea,1,4,1,0,0,2,1,1,0,1,0,Africa
Eritrea,3,2,4,3,2,3,2,4,2,4,2,Africa
Ethiopia,39,34,61,42,35,49,30,36,45,36,41,Africa
Gabon,5,7,6,6,10,7,6,7,6,4,6,Africa
Gambia,6,10,2,2,3,2,4,6,1,4,3,Africa
Ghana,232,184,176,219,170,153,143,127,118,133,118,Africa
Guinea,5,4,6,2,6,4,3,2,3,1,1,Africa
Guinea-Bissau,3,0,1,0,0,0,0,0,1,0,0,Africa
Kenya,363,278,281,259,219,248,178,153,157,130,105,Africa
Lesotho,5,1,1,4,1,3,3,2,0,2,1,Africa
Liberia,3,8,6,5,3,4,2,1,0,1,0,Africa
Libya,10,2,6,5,9,13,16,17,22,30,17,Africa
Madagascar,6,11,9,13,13,17,17,22,16,5,12,Africa
Malawi,8,8,8,9,9,2,5,7,2,10,3,Africa
Mali,11,11,13,14,6,6,8,9,5,7,2,Africa
Mauritania,0,0,5,2,3,1,3,2,0,3,3,Africa
Mauritius,37,26,30,26,27,18,25,27,25,28,18,Africa
Morocco,102,93,81,68,69,70,69,58,65,46,33,Africa
Mozambique,1,0,1,1,3,2,3,2,5,4,4,Africa
Namibia,3,4,1,6,7,3,6,5,7,3,3,Africa
Niger,11,8,9,8,6,4,3,2,2,4,3,Africa
Nigeria,547,501,546,517,509,483,456,469,411,402,354,Africa
Rwanda,7,3,7,10,7,8,10,8,23,16,10,Africa
Sao Tome and Principe,0,0,0,1,0,0,0,0,1,0,0,Africa
Senegal,61,62,62,54,54,40,52,34,38,27,16,Africa
Seychelles,0,0,0,2,1,0,0,0,0,1,0,Africa
Sierra Leone,15,9,6,6,11,7,4,3,5,2,3,Africa
Somalia,0,0,0,0,0,0,0,0,0,1,0,Africa
South Africa,580,425,381,397,378,397,312,248,268,194,187,Africa
South Sudan,0,0,0,0,0,1,2,3,2,2,0,Africa
Sudan,16,10,12,13,19,15,15,11,9,21,21,Africa
Swaziland,5,2,3,2,5,3,4,5,8,3,5,Africa
Tanzania,76,71,60,69,48,57,49,41,42,38,25,Africa
Togo,10,13,5,15,7,6,6,3,8,6,6,Africa
Tunisia,34,32,41,28,16,39,21,21,17,24,12,Africa
Uganda,43,43,40,32,34,51,24,36,43,40,27,Africa
Zambia,29,14,21,22,20,15,20,16,11,12,13,Africa
Zimbabwe,125,87,92,92,102,98,77,71,71,78,53,Africa
Afghanistan,3,1,1,0,8,14,9,10,3,4,4,Asia
Bahrain,9,4,4,8,4,12,5,12,8,11,5,Asia
Bangladesh,335,252,213,158,163,181,189,188,231,269,182,Asia
Bhutan,1,1,3,1,3,4,5,8,10,6,6,Asia
Brunei,1,0,0,1,2,1,2,0,3,1,2,Asia
Myanmar,53,47,39,47,40,48,35,33,27,31,22,Asia
Cambodia,9,5,6,13,12,14,17,11,12,12,10,Asia
China,"10,761","9,141","9,223","11,242","10,849","11,077","12,632","14,871","18,306","21,657","22,993",Asia
Taiwan,"2,506","1,945","2,057","2,061","1,705","1,692","1,560","1,505","1,448","1,425","1,261",Asia
Hong Kong,442,299,283,331,269,292,268,254,209,215,212,Asia
India,"83,464","72,517","55,886","58,664","72,438","80,630","99,705","108,817","119,952","126,692","129,097",Asia
Indonesia,"1,007",783,694,748,674,609,509,453,424,350,316,Asia
Iran,171,130,129,137,170,164,160,170,177,144,95,Asia
Iraq,42,16,10,8,11,12,7,12,13,12,7,Asia
Israel,"1,075",829,758,786,774,754,661,597,532,445,394,Asia
Japan,"3,516","2,610","2,505","2,430","2,054","1,907","1,698","1,369","1,146","1,011",765,Asia
Jordan,257,245,218,211,208,225,218,232,213,223,150,Asia
North Korea,0,0,0,0,0,0,0,0,0,0,0,Asia
South Korea,"3,788","3,257","3,233","3,656","3,501","3,131","3,000","2,727","2,526","2,377","1,939",Asia
Kuwait,8,6,5,6,6,15,11,8,8,10,23,Asia
Laos,3,1,0,1,1,0,2,2,1,0,0,Asia
Lebanon,368,369,342,295,267,256,210,227,184,176,154,Asia
Macao,29,15,15,21,12,19,15,17,14,22,21,Asia
Malaysia,926,709,603,648,556,523,493,443,354,343,276,Asia
Maldives,2,2,0,2,3,2,2,1,3,7,2,Asia
Mongolia,25,40,32,42,31,26,28,24,19,28,24,Asia
Nepal,446,455,466,488,516,524,512,585,554,509,404,Asia
Oman,5,8,4,7,7,5,6,2,7,1,5,Asia
Pakistan,"1,233",926,838,693,592,613,636,670,609,601,491,Asia
"Palestinian Territory, Occupied",19,15,18,21,17,29,24,18,17,27,15,Asia
Philippines,"4,279","3,998","3,676","3,173","2,369","2,026","2,160","1,700","1,432","1,455","1,328",Asia
Qatar,1,0,1,0,2,0,2,1,0,3,1,Asia
Saudi Arabia,18,13,24,18,25,42,44,51,64,69,72,Asia
Singapore,532,473,380,483,394,375,330,348,333,330,369,Asia
Sri Lanka,336,256,233,236,228,214,244,234,219,185,137,Asia
Syria,95,89,97,76,81,59,60,40,33,33,9,Asia
Thailand,534,433,375,408,330,284,302,245,239,209,201,Asia
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,Asia
United Arab Emirates,2,2,4,2,0,4,3,1,1,6,2,Asia
Vietnam,202,228,264,305,321,341,387,426,457,464,493,Asia
Yemen,13,5,9,8,7,4,0,2,0,3,4,Asia
Albania,92,81,81,75,69,59,42,59,56,43,26,Europe
Andorra,0,0,1,1,0,1,1,1,1,0,1,Europe
Armenia,64,50,38,47,52,58,44,59,53,42,26,Europe
Austria,218,165,156,169,182,153,146,108,138,105,96,Europe
Azerbaijan,34,36,29,38,41,38,44,45,38,31,22,Europe
Belarus,131,90,96,93,117,139,134,96,89,66,65,Europe
