State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031,1183505,1127167
Alabama,3877,3891,3740,4063,3873,3848,3685,3928,4736,3801
Alaska,1534,1608,1703,1799,1612,1460,1505,1572,1726,1547
Arizona,20638,20997,18243,20333,18434,16097,16908,17997,20694,19344
Arkansas,2997,2942,2684,2874,2795,2900,2793,2814,3158,3071
California,238444,227876,208446,210591,196622,191806,198379,209568,223141,214243
Colorado,12741,12841,12489,13547,13327,11108,10872,12661,14225,14520
Connecticut,12190,13632,12222,12577,12237,10985,11252,11102,12669,11938
Delaware,2295,2184,2198,2355,2208,2325,2085,2168,2204,2244
District of Columbia,2652,2934,2897,2724,2811,2981,3169,2976,3114,2885
Florida,133445,127006,107276,109229,103047,102939,109310,118873,136337,127609
Georgia,27769,28396,24833,27015,26134,24387,23792,25919,29572,26242
Guam,1305,1427,1383,1313,1430,1210,1089,1249,1147,1107
Hawaii,6572,6929,7037,7296,6764,6226,5741,6513,6285,5396
Idaho,2766,3120,2556,2602,2428,2120,2202,2531,2562,2709
Illinois,42723,41889,37909,38325,38373,35988,36535,40482,43207,40530
Indiana,8028,9087,8539,8262,8359,7668,8008,8554,9946,10052
Iowa,3696,3963,4245,4624,4679,4105,4225,5047,5299,5577
Kansas,5344,5319,5501,5086,4980,5000,4861,5419,5709,5703
Kentucky,5315,5260,4930,5403,5243,5159,5634,5647,7098,7537
Louisiana,4011,4299,4397,4226,4454,4355,4382,4696,5784,4688
Maine,1617,1675,1349,1467,1497,1208,1382,1464,1748,1594
Maryland,27062,26722,26450,25778,24971,25361,24787,22627,26077,25095
Massachusetts,30369,32607,31069,32236,31392,29482,29776,28535,35706,37010
Michigan,17947,18919,18579,18347,17494,16952,18185,18049,22569,18927
Minnesota,15832,18020,12408,12389,12999,12781,13764,14737,15603,16009
Mississippi,1679,1652,1709,1666,1583,1716,1587,1587,2149,1793
Missouri,7078,7142,7151,7048,6635,6345,6419,6731,6868,7707
Montana,543,553,457,511,503,445,451,519,566,529
Nebraska,3668,3989,4400,4535,4384,4141,4442,5234,5654,5327
Nevada,11768,12334,10803,10449,10343,9886,10089,11053,11555,12733
New Hampshire,2466,2483,2556,2478,2466,2227,2103,2159,2332,2279
New Jersey,53997,58879,56920,55547,50790,53082,51609,49801,56187,54440
New Mexico,3509,3887,3528,3767,3714,3664,3359,3626,4104,4002
New York,143679,150722,147999,148426,149505,133601,141406,130010,159878,139409
North Carolina,15174,18562,16112,17571,17487,16798,17152,18495,20811,21184
North Dakota,662,843,1058,948,1144,1234,1351,1600,1595,1471
Ohio,14595,15375,13585,13857,13948,13819,14641,16050,17251,16894
Oklahoma,4306,5007,4627,4503,4646,4648,4441,4880,5960,5535
Oregon,9028,9026,7997,7694,7791,7171,7379,8655,10033,9221
Pennsylvania,23646,24105,24130,25397,25032,24720,23944,24969,27217,27762
Puerto Rico,3287,4084,4283,3288,3106,2942,2709,3322,3581,3298
Rhode Island,3735,4156,4027,3681,3798,3337,3297,3610,4194,4102
South Carolina,4241,4747,4401,4216,3924,4266,4233,4417,5104,5027
South Dakota,773,1271,987,1337,1521,1231,1108,1265,1229,1017
Tennessee,8348,9042,8156,8279,8573,8380,8507,8833,10032,9793
Texas,89811,95384,87750,94481,95557,92674,95295,99727,110651,110126
Utah,6087,6466,6085,6426,5932,5503,6166,6883,7271,6390
Vermont,771,792,867,943,877,838,791,792,886,787
Virginia,30257,29825,28607,27767,28227,27861,28477,27622,29242,29466
Washington,23170,27562,22283,23789,23060,22994,22710,24765,27304,27363
West Virginia,798,734,729,830,779,760,783,786,928,776
Wisconsin,7306,6727,6189,6245,6049,5918,5997,6655,7111,6681
Wyoming,458,429,452,420,427,522,414,539,462,444
Other,1117,1495,1694,1480,1667,1379,1336,1116,1225,1413
Unknown,,2,,,,,1,202,1809,820
