Fiscal Year 2016	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Africa																																																																													
Algeria	42	359	0	15	14,503	20	0	0	30	10	0	1	0	0	109	0	2	0	0	0	0	253	10	0	20	78	0	42	0	18	0	0	0	0	14	30	16	292	13	75	0	0	0	26	24	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16,107	0	16,107	
Angola	91	98	0	1	4,422	610	0	0	21	143	0	0	0	0	4	0	0	0	0	0	0	669	25	0	29	100	0	7	0	6	0	0	0	0	2	8	18	67	0	2	0	0	0	24	45	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,409	0	6,409	
Benin	40	109	0	8	1,601	5	0	0	5	0	0	14	0	0	4	0	0	0	0	0	0	185	4	0	25	68	0	58	0	9	0	0	0	0	0	1	7	53	4	16	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,221	0	2,221	
Botswana	7	87	0	6	974	10	0	0	4	11	0	1	0	0	0	0	0	0	0	1	0	66	6	0	0	44	0	15	0	12	0	0	1	0	15	3	2	105	11	3	0	0	0	2	1	6	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,423	0	1,423	
Burkina Faso	21	91	1	12	4,811	5	0	0	4	0	0	16	0	0	1	0	1	0	0	0	0	630	5	0	25	105	1	61	2	6	0	0	0	0	0	1	17	64	7	15	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,925	0	5,925	
Burundi	19	31	0	1	968	1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	109	6	0	8	39	0	92	0	1	0	0	0	0	0	0	2	31	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,321	0	1,321	
Cabo Verde	10	62	1	3	3,392	2	0	0	1	30	0	7	0	0	0	0	0	0	0	0	0	51	1	0	1	16	0	7	1	2	0	0	0	0	0	1	2	13	0	164	35	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,821	0	3,821	
Cameroon	72	474	0	14	9,937	19	0	0	20	24	2	9	0	0	2	0	5	0	0	0	0	865	19	0	14	152	0	175	1	52	0	0	0	0	2	17	7	193	25	194	32	0	0	19	18	5	0	0	0	0	0	0	0	0	0	0	0	1	4	0	21	0	2	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	12,418	0	12,418	
Central African Republic	20	20	0	0	132	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	34	50	0	11	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	296	
