Immigrant Population by Country of Birth,	
1960 to 1990	

Region/Subregion or Country of Birth	1960	1970	1980	1990	

Total	9738091	9619302	14079906	19767316	
Reported by region and/or country	9678201	9303570	13192563	18959158	
    Europe	7256311	5740891	5149572	4350403	
        Northern and Western Europe	3334971	2629200	2384257	2058853	
            Northern Europe	1694430	1271591	1083499	968271	
                   United Kingdom	833055	686099	669149	640145	
                   Ireland	338722	251375	197817	169827	

                Scandinavia	522653	334117	216533	158299	
                   Denmark	85060	61410	42732	34999	
                   Finland	67624	45499	29172	22313	
                   Iceland	2780	2895	4156	5071	
                   Norway	152698	97243	63316	42240	
                   Sweden	214491	127070	77157	53676	

            Western Europe	1640541	1357609	1300758	1090582	
                   Belgium	50294	41412	36487	34366	
                   Luxembourg	4360	3531	3125	2053	
                   Netherlands	118415	110570	103136	96198	
                Austria	304507	214014	145607	87673	
                France	111582	105385	120215	119233	
                Germany	989815	832965	849384	711929	
                Switzerland	61568	49732	42804	39130	

        Southern and Eastern Europe	3907020	3090991	2748547	2285513	
            Southern Europe	1541441	1363195	1336805	1054141	
                Greece	159167	177275	210998	177398	
                Italy	1256999	1008533	831922	580592	
                Malta	(na)	(na)	10182	9614	
                Portugal (total)	80276	119899	209968	210122	
                    Azores	22586	28865	32531	29656	
                    Portugal	57690	91034	177437	180466	
                Spain	44999	57488	73735	76415	

            Eastern Europe	2365579	1727796	1411742	1231372	
                Albania	9618	9180	7381	5627	
                Bulgaria	8223	8609	8463	8579	
                Czechoslovakia	227618	160899	112707	87020	
                Estonia	13991	12163	12169	9210	
                Hungary	245252	183236	144368	110337	
                Latvia	50681	41707	34349	26179	
                Lithuania	121475	76001	48194	29745	
                Poland	747750	548107	418128	388328	
                Romania	84575	70687	66994	91106	
                Soviet Union	690598	463462	406022	333725	
                Yugoslavia	165798	153745	152967	141516	
        Europe n.e.c.	14320	20700	16768	6037	

    Asia	490996	824887	2539777	4979037	
        Eastern Asia	(na)	(na)	956491	1784702	
            China (3)	99735	172132	286120	529837	
            Hong Kong	(na)	(na)	80380	147131	
            Japan	109175	120235	221794	290128	
            Korea (total)	11171	38711	289885	568397	
            Macau	(na)	(na)	2959	5107	
            Taiwan (3)	(na)	(na)	75353	244102	

        South Central Asia	(na)	(na)	373535	819378	
            Afghanistan	(na)	(na)	3760	28444	
            Bangladesh	(na)	(na)	4989	21414	
            India	12296	51000	206087	450406	
            Iran	(na)	(na)	121505	210941	
            Nepal	(na)	(na)	844	2262	
            Pakistan	1708	6182	30774	91889	
            Sri Lanka	(na)	(na)	5576	14022	

        South Eastern Asia	(na)	(na)	919646	1968210	
            Burma	(na)	(na)	11236	19835	
            Cambodia	(na)	(na)	20175	118833	
            Indonesia	(na)	(na)	29920	48387	
            Laos	(na)	(na)	54881	171577	
            Malaysia	(na)	(na)	10473	33834	
            Philippines	104843	184842	501440	912674	
            Singapore	(na)	(na)	5598	12889	
            Thailand	(na)	(na)	54803	106919	
            Vietnam	(na)	(na)	231120	543262	

        Western Asia	132697	174053	281426	400313	
            Cyprus	(na)	(na)	8806	10060	
            Iraq	(na)	(na)	32121	44916	
            Israel	17724	35858	66961	86048	
            Jordan	(na)	(na)	21587	31871	
            Kuwait	(na)	(na)	4337	8889	
            Lebanon	22217	22396	52674	86369	
            Palestine	(na)	(na)	(na)	21070	
            Saudi Arabia	(na)	(na)	17317	12632	
            Syria	16717	14962	22081	36782	
            Turkey	52228	48085	51915	55087	
            United Arab Emirates	(na)	(na)	534	1656	
            Yemen	(na)	(na)	3093	4933	
            Middle East n.e.c.	23811	52752	(na)	(na)	
        Asia n.e.c.	19371	77732	8679	6434	

    Africa	35355	80143	199723	363819	
        Eastern Africa	(na)	(na)	26036	72300	
            Ethiopia	(na)	(na)	7516	34805	
            Kenya	(na)	(na)	6250	14371	
            Somalia	(na)	(na)	691	2437	
            Tanzania	(na)	(na)	3246	6282	
            Uganda	(na)	(na)	3804	6684	
            Zambia	(na)	(na)	1346	2954	
            Zimbabwe	(na)	(na)	3183	4767	

        Middle Africa	(na)	(na)	3719	8800	
            Angola	(na)	(na)	1094	2252	
            Cameroon	(na)	(na)	1214	3161	
            Zaire	(na)	(na)	1411	3387	

        Northern Africa	15903	32396	69777	99044	
            Algeria	(na)	(na)	3853	4629	
            Egypt	8316	20666	43424	66313	
            Libya	(na)	(na)	6427	4037	
            Morocco	(na)	(na)	9896	15541	
            Sudan	(na)	(na)	2711	4423	
            Tunisia	(na)	(na)	3466	4101	
            Northern Africa n.e.c.	7587	11730	(na)	(na)	

        Southern Africa	(na)	(na)	16103	34707	
            South Africa	5394	7667	16103	34707	

        Western Africa	(na)	(na)	50002	111566	
            Cape Verde (4)	8302	18680	10457	14368	
            Ghana	(na)	(na)	7564	20889	
            Liberia	(na)	(na)	3728	11455	
            Nigeria	(na)	(na)	25528	55350	
            Senegal	(na)	(na)	762	2287	
            Sierra Leone	(na)	(na)	1963	7217	
        Africa n.e.c.	5756	21400	34086	37402	

    Oceania	34730	41258	77577	104145	
        Australia and New Zealand	28035	32388	47533	57682	
            Australia	22209	24271	36120	42267	
            New Zealand	5826	8117	11413	15415	
        Pacific Islands	6695	8870	30044	46463	
            Fiji	(na)	(na)	7538	15935	
            Tonga	(na)	(na)	5619	10668	
            Western Samoa	(na)	(na)	12582	11408	
            Other Pacific Islands	(na)	(na)	4305	8452	

Americas	1860809	2616391	5225914	9161754	
    Latin America	908309	1803970	4372487	8407837	
        Caribbean	193922	675108	1258363	1938348	
            Antigua &amp; Barbuda	(na)	(na)	3920	12022	
            Aruba	(na)	(na)	2597	3363	
            Bahamas	(na)	(na)	13993	21633	
            Barbados	(na)	(na)	26847	43015	
            Cuba	79150	439048	607814	736971	
            Dominica	(na)	(na)	3296	19529	
            Dominican Republic	11883	61228	169147	347858	
            Grenada	(na)	(na)	7101	17730	
            Haiti	4816	28026	92395	225393	
            Jamaica	24759	68576	196811	334140	
            Montserrat	(na)	(na)	1212	3493	
            Netherlands Antilles	(na)	(na)	5123	3426	
            St. Kitts-Nevis	(na)	(na)	1903	7447	
            St. Lucia	(na)	(na)	1901	6959	
            St. Vincent &amp; the Grenadines	(na)	(na)	4044	12824	
            Trinidad &amp; Tobago	(na)	20673	65907	115710	
            Other Caribbean	73314	57557	54352	26835	
                West Indies n.e.c.	73314	57557	(na)	18509	
                Other	(na)	(na)	54352	8326	

        Central America	624851	873624	2553113	5431992	
            Mexico	575902	759711	2199221	4298014	
            Other Central America	48949	113913	353892	1133978	
                Belize	2780	8860	14436	29957	
                Costa Rica	5425	16691	29639	43530	
                El Salvador	6310	15717	94447	465433	
                Guatemala	5381	17356	63073	225739	
                Honduras	6503	19118	39154	108923	
                Nicaragua	9474	16125	44166	168659	
                Panama	13076	20046	60740	85737	
                Central America n.e.c.	(na)	(na)	8237	6000	

        South America	89536	255238	561011	1037497	
            Argentina	16579	44803	68887	92563	
            Bolivia	2168	6872	14468	31303	
            Brazil	13988	27069	40919	82489	
            Chile	6259	15393	35127	55681	
            Colombia	12582	63538	143508	286124	
            Ecuador	7670	36663	86128	143314	
            Guyana	(na)	(na)	48608	120698	
            Paraguay	595	(na)	2858	6057	
            Peru	7102	21663	55496	144199	
            Suriname	(na)	(na)	1433	2860	
            Uruguay	1170	5092	13278	20766	
            Venezuela	6851	11348	33281	42119	
            South America n.e.c.	14572	22797	17020	9324	

    Northern America	952500	812421	853427	753917	
        Canada	952500	812421	842859	744830	
        Other Northern America	(na)	(na)	10568	9087	
            Bermuda	(na)	(na)	8844	7972	
            Northern America n.e.c.	(na)	(na)	1724	1115	

Region or country not reported	59890	315732	887343	808158	

NOTES:	
1) The term "immigrants" (also known as the foreign born) refers to people residing in the United States who were not U.S. citizens at birth. This population includes naturalized citizens, lawful permanent residents (LPRs), certain legal nonimmigrants (e.g., persons on student or work visas), those admitted under refugee or asylee status, and persons illegally residing in the United States.	
2) (na) Not available.; n.e.c. Not elsewhere classified.	
3) In data for 1960 and 1970, China included Taiwan; 4) Data for 1960 and 1970 are for Other Atlantic Islands. 	

SOURCES: 	
Migration Policy Institute tabulation of data from the U.S. Census Bureau. Data for 1960 to 1990 were from Campbell J. Gibson and Emily Lennon, "Historical Census Statistics on the Foreign-born Population of the United States: 1850-1990," U.S. Census Bureau, Population Division, Working Paper No. 29, February 1999. This report is available at http://www.census.gov/population/www/documentation/twps0029/twps0029.html.	
