Rank	Origin	Diaspora	Foreign Born	
1	Germany	46649000	584000	
2	Mexico	36829000	11710000	
3	Ireland1	36187000	125000	
4	United Kingdom2	31951000	676000	
5	Italy	17347000	355000	
6	Poland	9321000	432000	
7	France3	8235000	162000	
8	Puerto Rico4	5868000	1634000	
9	China5	4752000	2143000	
10	Norway	4439000	23000	
11	Netherlands	4269000	82000	
12	India	4038000	2182000	
13	Philippines	3965000	1923000	
14	Sweden	3883000	52000	
15	Canada6	3283000	794000	
16	El Salvador	2444000	1323000	
17	Cuba	2316000	1176000	
18	Vietnam	2124000	1298000	
19	Dominican Republic	2032000	996000	
20	Korea	1911000	1082000	
s
