Table 10.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY BROAD CLASS OF ADMISSION AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2017	

Region and country of birth	Total	Immediate relatives of U.S. citizens	Family-sponsored preferences	Employment-based preferences	Diversity	Refugees and asylees	Other	
REGION	
Total	1127167	516508	232238	137855	51592	146003	42971	
Africa	118824	51138	13899	5014	21927	26615	231	
Asia	424743	156133	95788	83962	15722	52003	21135	
Europe	84335	42202	6400	20059	11367	4103	204	
North America	413650	215631	100479	16405	571	60617	19947	
Oceania	5071	2714	463	1210	632	36	16	
South America	79076	47783	14801	11162	1347	2582	1401	
Unknown	1468	907	408	43	26	47	37	
COUNTRY	
Total	1127167	516508	232238	137855	51592	146003	42971	
Afghanistan	19538	1112	345	39	159	1013	16870	
Albania	5722	2154	1083	70	2330	78	7	
Algeria	2139	589	137	63	1333	15	2	
Angola	209	103	20	24	19	38	5	
Anguilla	23	14	9	-	-	-	-	
Antigua and Barbuda	322	194	114	D	D	-	-	
Argentina	3482	2029	139	1134	33	87	60	
Armenia	3437	1301	352	119	1488	171	6	
Aruba	47	31	D	8	-	D	-	
Australia	2906	1569	79	926	325	3	4	
Austria	387	205	13	136	27	5	1	
Azerbaijan	881	341	62	52	359	66	1	
Bahamas	725	559	74	80	3	5	4	
Bahrain	130	38	25	50	5	9	3	
Bangladesh	14693	6089	7711	752	-	114	27	
Barbados	373	249	85	32	D	D	D	
Belarus	1919	685	114	294	677	145	4	
Belgium	625	274	11	281	48	9	2	
Belize	746	541	165	15	D	D	16	
Benin	648	279	27	27	298	14	3	
Bermuda	68	49	8	10	-	-	1	
Bhutan	2940	46	3	6	10	2873	2	
Bolivia	1510	1032	281	108	18	29	42	
Bosnia and Herzegovina	846	552	117	61	68	48	-	
Botswana	112	40	5	18	3	46	-	
Brazil	14989	10102	683	3841	9	140	214	
Brunei	24	D	D	11	-	D	1	
Bulgaria	2184	1237	167	265	491	20	4	
Burkina Faso	541	246	33	39	142	78	3	
Burma	12897	864	576	59	154	11243	1	
