Table 11.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY BROAD CLASS OF ADMISSION AND REGION AND COUNTRY OF LAST RESIDENCE: FISCAL YEAR 2017	

Region and country of last residence	Total	Immediate relatives of U.S. citizens	Family-sponsored preferences	Employment-based preferences	Diversity	Refugees and asylees	Other	
REGION	
Total	1127167	516508	232238	137855	51592	146003	42971	
Africa	116667	51375	14366	4183	20938	25602	203	
Asia	404371	149898	90645	77587	15689	49570	20982	
Europe	89706	42925	7387	21157	11477	6460	300	
North America	414081	213043	101367	20293	784	60433	18161	
Oceania	5986	2825	663	1783	658	39	18	
South America	75595	46201	13870	10315	1288	2604	1317	
Unknown	20761	10241	3940	2537	758	1295	1990	
COUNTRY	
Total	1127167	516508	232238	137855	51592	146003	42971	
Afghanistan	18319	981	282	17	142	176	16721	
Albania	5360	2044	998	51	2186	73	8	
Algeria	2081	583	140	26	1306	25	1	
Angola	202	99	12	23	21	42	5	
Anguilla	31	17	14	-	-	-	-	
Antigua and Barbuda	370	233	126	D	D	-	-	
Argentina	3191	1956	120	921	39	92	63	
Armenia	3485	1395	350	105	1463	165	7	
Aruba	42	34	-	8	-	-	-	
Australia	3818	1713	264	1431	397	5	8	
Austria	1962	218	34	151	39	1516	4	
Azerbaijan	713	243	25	32	334	78	1	
Bahamas	786	592	77	105	3	5	4	
Bahrain	222	79	61	48	5	28	1	
Bangladesh	14251	5998	7533	591	4	103	22	
Barbados	408	273	92	35	6	-	2	
Belarus	1887	678	114	243	710	138	4	
Belgium	742	295	24	328	73	14	8	
Belize	754	553	161	20	3	3	14	
Benin	647	281	27	24	294	19	2	
Bermuda	120	57	D	50	D	-	-	
Bhutan	125	37	D	D	7	75	2	
Bolivia	1399	961	269	84	18	29	38	
Bosnia and Herzegovina	751	536	100	32	51	32	-	
Botswana	183	43	13	30	15	82	-	
Brazil	14832	10045	718	3720	17	143	189	
Brunei	22	13	D	D	-	-	-	
Bulgaria	2070	1212	161	199	477	17	4	
Burkina Faso	577	242	35	28	188	82	2	
Burma	1930	795	463	40	144	487	1	
