Table 1.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS: FISCAL YEARS 1820 TO 2017	

Year	Number	Year	Number	Year	Number	Year	Number	
1820	8385	1870	387203	1920	430001	1970	373326	
1821	9127	1871	321350	1921	805228	1971	370478	
1822	6911	1872	404806	1922	309556	1972	384685	
1823	6354	1873	459803	1923	522919	1973	398515	
1824	7912	1874	313339	1924	706896	1974	393919	
1825	10199	1875	227498	1925	294314	1975	385378	
1826	10837	1876	169986	1926	304488	1976¹	499093	
1827	18875	1877	141857	1927	335175	1977	458755	
1828	27382	1878	138469	1928	307255	1978	589810	
1829	22520	1879	177826	1929	279678	1979	394244	
1830	23322	1880	457257	1930	241700	1980	524295	
1831	22633	1881	669431	1931	97139	1981	595014	
1832	60482	1882	788992	1932	35576	1982	533624	
1833	58640	1883	603322	1933	23068	1983	550052	
1834	65365	1884	518592	1934	29470	1984	541811	
1835	45374	1885	395346	1935	34956	1985	568149	
1836	76242	1886	334203	1936	36329	1986	600027	
1837	79340	1887	490109	1937	50244	1987	599889	
1838	38914	1888	546889	1938	67895	1988	641346	
1839	68069	1889	444427	1939	82998	1989	1090172	
1840	84066	1890	455302	1940	70756	1990	1535872	
1841	80289	1891	560319	1941	51776	1991	1826595	
1842	104565	1892	579663	1942	28781	1992	973445	
1843	52496	1893	439730	1943	23725	1993	903916	
1844	78615	1894	285631	1944	28551	1994	803993	
1845	114371	1895	258536	1945	38119	1995	720177	
1846	154416	1896	343267	1946	108721	1996	915560	
1847	234968	1897	230832	1947	147292	1997	797847	
1848	226527	1898	229299	1948	170570	1998	653206	
1849	297024	1899	311715	1949	188317	1999	644787	
1850	369980	1900	448572	1950	249187	2000	841002	
1851	379466	1901	487918	1951	205717	2001	1058902	
1852	371603	1902	648743	1952	265520	2002	1059356	
1853	368645	1903	857046	1953	170434	2003	703542	
1854	427833	1904	812870	1954	208177	2004	957883	
1855	200877	1905	1026499	1955	237790	2005	1122257	
1856	200436	1906	1100735	1956	321625	2006	1266129	
1857	251306	1907	1285349	1957	326867	2007	1052415	
1858	123126	1908	782870	1958	253265	2008	1107126	
1859	121282	1909	751786	1959	260686	2009	1130818	
1860	153640	1910	1041570	1960	265398	2010	1042625	
1861	91918	1911	878587	1961	271344	2011	1062040	
1862	91985	1912	838172	1962	283763	2012	1031631	
1863	176282	1913	1197892	1963	306260	2013	990553	
1864	193418	1914	1218480	1964	292248	2014	1016518	
1865	248120	1915	326700	1965	296697	2015	1051031	
1866	318568	1916	298826	1966	323040	2016	1183505	
1867	315722	1917	295403	1967	361972	2017	1127167	
1868	138840	1918	110618	1968	454448	
1869	352768	1919	141132	1969	358579	
¹ Includes the 15 months from July 1, 1975 to September 30, 1976 because the end date of fiscal years was changed from June 30 to September 30.	
Source: U.S. Department of Homeland Security.	
