Table 3.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2008 TO 2017	

Region and country of birth	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
REGION	
Total	1107126	1130818	1042625	1062040	1031631	990553	1016518	1051031	1183505	1127167	
Africa	105915	127046	101355	100374	107241	98304	98413	101415	113426	118824	
Asia	399027	413312	422063	451593	429599	400548	430508	419297	462299	424743	
Europe	103782	105476	88801	83850	81671	86556	83266	85803	93567	84335	
North America	393196	375180	336553	333902	327771	315660	324354	366126	427293	413650	
Oceania	5263	5578	5345	4980	4742	5277	5112	5404	5588	5071	
South America	98549	102860	87178	86096	79401	80945	73715	72309	79608	79076	
Unknown	1394	1366	1330	1245	1206	3263	1150	677	1724	1468	
COUNTRY	
Total	1107126	1130818	1042625	1062040	1031631	990553	1016518	1051031	1183505	1127167	
Afghanistan	2813	3165	2017	1648	1617	2196	10527	8328	12513	19538	
Albania	5754	5137	4711	3612	3364	3186	3828	4653	5773	5722	
Algeria	1037	1485	1305	1364	1369	1241	1669	1775	2180	2139	
American Samoa	14	19	14	D	-	D	-	-	-	D	
Angola	221	173	148	148	187	143	148	154	198	209	
Anguilla	22	21	19	25	23	22	20	22	20	23	
Antigua and Barbuda	444	437	359	368	337	344	369	290	324	322	
Argentina	5353	5780	4399	4473	4359	4372	3874	3730	4091	3482	
Armenia	3586	3442	2979	2983	2681	2722	2913	2962	3543	3437	
Aruba	36	38	49	39	54	45	40	38	23	47	
Australia	2464	2622	2512	2343	2414	2759	2809	3034	3239	2906	
Austria	443	512	442	424	407	415	438	474	432	387	
Azerbaijan	1071	834	781	728	663	637	672	676	784	881	
Bahamas	682	751	652	668	619	630	654	725	656	725	
Bahrain	96	120	104	119	104	115	122	145	138	130	
Bangladesh	11753	16651	14819	16707	14705	12099	14645	13570	18723	14693	
Barbados	585	603	465	455	460	428	384	376	371	373	
Belarus	2390	2407	2038	1964	1659	1970	2015	1994	2127	1919	
Belgium	642	686	592	567	574	675	632	662	691	625	
Belize	1077	1041	965	905	847	946	789	772	851	746	
Benin	317	401	486	462	415	342	517	466	577	648	
Bermuda	92	108	72	71	85	88	106	112	99	68	
Bhutan	42	594	6109	10137	10198	8954	7298	6325	4217	2940	
Bolivia	2436	2837	2253	2173	1948	2071	1719	1626	1595	1510	
Bosnia and Herzegovina	1491	1501	946	878	815	697	693	859	971	846	
Botswana	41	55	66	76	80	53	58	61	78	112	
Brazil	12195	14701	12258	11763	11441	11033	10429	11424	13812	14989	
Brunei	18	26	20	25	19	21	25	21	31	24	
Bulgaria	2960	3133	2570	2661	2440	2844	2981	2688	2670	2184	
Burkina Faso	238	416	377	433	558	585	583	575	642	541	
Burma	3403	13621	12925	16518	17383	12565	11144	12808	13065	12897	
Burundi	255	1505	841	593	535	260	273	351	415	1094	
Cabo Verde	1916	2238	1668	1808	1684	1673	1154	1253	2242	2618	
Cambodia	3713	3771	2986	2745	2473	2624	2536	1868	3173	4056	
Cameroon	3771	3463	4161	4754	3815	3908	3943	4374	4899	4668	
Canada	15109	16140	13328	12800	12932	13181	11586	12673	12793	11484	
Cayman Islands	37	45	52	41	44	44	48	53	55	67	
Central African Republic	88	107	101	134	116	213	155	234	202	178	
Chad	96	102	120	171	155	111	119	175	136	205	
Chile	2017	2250	1950	1853	1673	1736	1581	1596	1698	1625	
China, People's Republic	80271	64238	70863	87016	81784	71798	76089	74558	81772	71565	
