Table 5.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY CORE BASED STATISTICAL AREA (CBSA) OF RESIDENCE: FISCAL YEARS 2008 TO 2017	
(Ranked by 2017 LPR flow)	

Geographic area	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Total	1107126	1130818	1042625	1062040	1031631	990553	1016518	1051031	1183505	1127167	
New York-Newark-Jersey City, NY-NJ-PA	181765	191536	187680	185274	180591	168731	174723	162168	195593	174421	
Los Angeles-Long Beach-Anaheim, CA	96489	97537	87442	86160	81508	79892	80527	82979	88743	82470	
Miami-Fort Lauderdale-West Palm Beach, FL	87787	83932	69419	71773	66152	66634	72038	77647	88651	80133	
Washington-Arlington-Alexandria, DC-VA-MD-WV	42936	42629	41399	39411	38576	39232	39532	37340	40642	39927	
Houston-The Woodlands-Sugar Land, TX	30500	32006	30833	31129	31728	31949	33856	34591	37777	38686	
Chicago-Naperville-Elgin, IL-IN-WI	39821	38837	35109	35039	34898	32819	33038	36658	39749	36832	
San Francisco-Oakland-Hayward, CA	36113	32302	31760	32433	29583	30600	32904	34152	36476	35420	
Dallas-Fort Worth-Arlington, TX	26536	29111	26071	28170	28081	26810	28780	29660	33605	34620	
Boston-Cambridge-Newton, MA-NH	24684	26342	24970	25911	25044	23866	24026	22836	28677	29908	
Atlanta-Sandy Springs-Roswell, GA	22339	23360	20460	22038	21299	20065	19626	20875	23620	21341	
Seattle-Tacoma-Bellevue, WA	17060	20687	16846	17814	17642	17864	17527	19007	20582	20814	
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	18914	18936	18253	18924	17905	18121	17665	18210	19318	19948	
San Jose-Sunnyvale-Santa Clara, CA	21022	18677	18619	18554	16937	17292	18590	19866	19790	19880	
San Diego-Carlsbad, CA	20487	20776	19764	21550	18893	16567	17670	18524	18690	18106	
Riverside-San Bernardino-Ontario, CA	17790	17007	14925	14884	14547	14027	13362	15912	16559	15987	
