Table 6.	
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY TYPE AND MAJOR CLASS OF ADMISSION: FISCAL YEARS 2008 TO 2017	

Type and class of admission	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
TOTAL	
Total	1107126	1130818	1042625	1062040	1031631	990553	1016518	1051031	1183505	1127167	
Immediate relatives of U.S. citizens	488483	535554	476414	453158	478780	439460	416456	465068	566706	516508	
Spouses	265671	317129	271909	258320	273429	248332	238852	265367	304358	292909	
Children 1	101342	98270	88297	80311	81121	71382	61217	66740	88494	74989	
Parents	121470	120155	116208	114527	124230	119746	116387	132961	173854	148610	
Family-sponsored preferences	227761	211859	214589	234931	202019	210303	229104	213910	238087	232238	
First: Unmarried sons/daughters of U.S. citizens and their children	26173	23965	26998	27299	20660	24358	25686	24533	22072	26219	
Second: Spouses, children, and unmarried sons/daughters of alien residents	103456	98567	92088	108618	99709	99115	105641	104892	121267	113500	
Third: Married sons/daughters of U.S. citizens and their spouses and children	29273	25930	32817	27704	21752	21294	25830	24271	27392	23260	
Fourth: Brothers/sisters of U.S. citizens (at least 21 years of age) and their spouses and children	68859	63397	62686	71310	59898	65536	71947	60214	67356	69259	
Employment-based preferences	164741	140903	148343	139339	143998	161110	151596	144047	137893	137855	
First: Priority workers	36678	40924	41055	25251	39316	38978	40554	41688	42862	41060	
Second: Professionals with advanced degrees or aliens of exceptional ability	70046	45552	53946	66831	50959	63026	48801	44344	38858	39331	
Third: Skilled workers, professionals, and unskilled workers	48903	40398	39762	37216	39229	43632	43156	37243	35933	38083	
Fourth: Certain special immigrants	7754	10341	11100	6701	7866	6931	8362	10584	10377	9504	
Fifth: Employment creation (investors)	1360	3688	2480	3340	6628	8543	10723	10188	9863	9877	
Diversity	41761	47879	49763	50103	40320	45618	53490	47934	49865	51592	
Refugees	90030	118836	92741	113045	105528	77395	96066	118431	120216	120356	
Asylees	76362	58532	43550	55415	45086	42235	38176	33564	37209	25647	
Parolees	1169	2385	1592	1146	753	554	94	23	15	26	
Children born abroad to alien residents	637	587	716	633	643	643	594	403	92	75	
Certain Iraqis and Afghans employed by U.S. Government and their spouses and children	223	2927	2575	767	3695	2195	11873	7048	12151	19191	
Cancellation of removal	11128	8156	8180	7430	6818	5763	5248	4713	3453	3539	
Victims of human trafficking	NA	766	511	479	470	608	1149	970	1069	1317	
Victims of crimes and their spouses and children	NA	12	2165	4159	2195	3756	11715	14138	16184	18065	
