Table 21.	
PERSONS NATURALIZED BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2008 TO 2017	

Region and country of birth	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
REGION	
Total	1046539	743715	619913	694193	757434	779929	653416	730259	753060	707265	
Africa	54418	60383	64022	69738	74775	71872	62175	71492	72338	61851	
Asia	330361	276375	251598	249940	257035	275700	233163	261374	271733	255306	
Europe	108688	90214	78011	82209	82714	80333	71325	78074	74344	65141	
North America	462312	250209	163836	217750	261673	271807	222547	247492	259845	258371	
Oceania	4781	3928	3646	3734	3886	3849	3399	3811	3953	3327	
South America	84845	61666	58474	70485	76992	76167	60665	67927	70821	63063	
Unknown	1134	940	326	337	359	201	142	89	26	206	
COUNTRY	
Total	1046539	743715	619913	694193	757434	779929	653416	730259	753060	707265	
Afghanistan	2650	2588	2230	1998	1758	2074	1853	1589	1444	1414	
Albania	2972	3483	5088	4267	3615	3538	3131	3237	2813	2169	
Algeria	894	1024	808	773	891	841	928	943	1035	949	
American Samoa	178	265	232	205	180	265	187	296	285	216	
Angola	161	95	135	162	166	143	145	132	131	125	
Anguilla	47	29	26	38	30	26	18	31	16	20	
Antigua and Barbuda	661	456	341	386	390	366	358	381	383	311	
Argentina	4170	3153	3140	3870	3909	4177	3683	3886	4015	3486	
Armenia	2195	2021	3168	3965	3285	3203	2488	2874	2516	1994	
Aruba	55	37	27	40	27	42	28	37	28	32	
Australia	1636	1392	1202	1291	1312	1296	1159	1379	1389	1235	
Austria	357	303	277	271	241	248	223	207	221	177	
Azerbaijan	834	1005	1233	1153	958	786	585	568	574	483	
Bahamas	838	569	475	609	647	681	545	570	590	481	
Bahrain	85	91	102	80	93	76	90	79	80	77	
Bangladesh	5345	6644	6979	7325	8417	9571	7475	9750	9949	8629	
Barbados	1203	878	535	648	687	683	550	646	651	645	
Belarus	1767	1583	1523	1814	1896	1797	1437	1710	1518	1313	
Belgium	716	673	523	525	522	513	408	505	514	493	
Belize	1291	854	556	742	817	966	773	851	870	810	
Benin	79	119	127	183	210	206	229	310	317	309	
Bermuda	75	80	65	58	65	59	67	66	61	65	
Bhutan	9	17	50	55	42	275	2639	4562	5563	5557	
Bolivia	2807	1700	1185	1446	2063	1961	1527	1689	1862	1806	
Bosnia and Herzegovina	8176	4544	4012	4259	4904	3662	2509	3304	2257	1780	
Botswana	18	17	24	9	11	29	24	28	29	27	
Brazil	8808	7960	8867	10251	9884	9565	8625	10516	10268	9701	
Brunei	25	14	15	11	17	11	15	13	10	11	
Bulgaria	3213	3211	3123	3103	2964	2646	2226	2336	2086	1887	
Burkina Faso	48	90	112	163	166	230	235	307	322	303	
