Table 22.	
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE: FISCAL YEARS 2008 TO 2017	

State or territory of residence	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Total	1046539	743715	619913	694193	757434	779929	653416	730259	753060	707265	
Alabama	1982	1775	2027	2439	2084	1811	1266	2834	2331	1045	
Alaska	1145	1100	831	1115	1186	1083	1076	964	972	1011	
Arizona	24055	12377	10340	12784	13090	13165	11268	13748	11374	12462	
Arkansas	2330	1648	1275	1559	1605	1567	1671	1576	1809	1328	
California	297909	179754	129354	151183	158850	164792	140234	155979	151830	157364	
Colorado	11972	6813	7165	7805	7726	6263	5965	9423	8679	6104	
Connecticut	9589	10421	7452	8370	8332	9253	8336	9838	9317	7441	
Delaware	1425	1545	1829	1470	1456	1460	1175	1633	1386	1453	
District of Columbia	1492	2188	1319	1016	1958	1854	1626	1684	1736	1944	
Florida	128328	82788	67484	87309	100890	101773	79637	81960	88764	69485	
Georgia	20417	15408	18253	17761	17093	19534	15242	20794	18866	16461	
Guam	998	654	644	675	800	691	709	712	711	842	
Hawaii	5205	3744	3190	3450	3144	3494	2931	3698	3673	3491	
Idaho	2240	1674	1102	1473	1384	1305	1560	1427	1533	1994	
Illinois	45224	28112	26180	29133	28376	27706	26224	25722	26003	24933	
Indiana	5104	4261	3866	4085	4146	4369	4274	4686	5113	6420	
Iowa	3503	2198	1858	1840	2255	2503	2000	2574	2805	2677	
Kansas	4072	3129	2492	2687	2905	2761	2743	2830	3050	3152	
Kentucky	3093	2390	2398	2778	2686	3341	2663	2846	3054	3445	
Louisiana	3018	3402	2423	2496	2344	2543	2616	2956	2846	2160	
Maine	924	729	839	999	941	988	909	1102	983	1039	
Maryland	23342	17099	16220	15790	16160	17752	13707	18390	19775	17729	
Massachusetts	28728	21748	21095	22812	22753	21404	21608	23554	24577	27739	
Michigan	14634	10703	11162	10414	11069	12950	11809	12473	13576	12725	
Minnesota	9220	9089	9020	11044	12016	10526	9176	7533	8573	7834	
Mississippi	944	1170	967	965	972	973	931	946	990	662	
Missouri	5849	4526	4388	4175	4794	4817	4250	4318	4657	5109	
Montana	358	267	259	297	325	294	304	249	314	347	
Nebraska	2866	1644	1590	1876	2039	2418	2348	2221	2405	2422	
Nevada	13150	8470	6791	8519	7667	8507	7891	7900	8923	7438	
New Hampshire	1617	1492	1670	1607	1507	1589	1413	1570	1501	1897	
New Jersey	59950	35077	33864	33826	42622	41173	32939	34857	40344	38611	
New Mexico	3058	3062	2205	2434	2689	2371	2426	2452	2524	3312	
New York	90572	88733	67972	76603	93584	107330	77717	90368	93376	86407	
North Carolina	8509	16294	9988	11360	11848	12150	11160	11569	12492	13890	
North Dakota	336	273	286	369	377	532	525	561	1046	607	
Ohio	11142	8072	8617	9326	10194	10664	9032	9580	10029	12427	
Oklahoma	3335	2256	2678	2966	3133	3487	2472	3858	3953	3769	
Oregon	9257	5051	4910	5657	5872	5784	4363	6130	7173	6382	
Pennsylvania	19673	16905	16143	16162	16470	17813	14500	16554	17239	14898	
Puerto Rico	2622	1253	1318	1692	2212	2447	2439	2826	2514	2651	
Rhode Island	3721	2458	2078	2682	2854	2816	2479	2728	2736	3415	
South Carolina	3488	3506	3081	4033	4124	4770	4486	4611	4159	5033	
South Dakota	572	415	399	420	467	464	676	542	647	632	
Tennessee	5560	4938	4229	5396	5557	5004	4613	5381	5371	3645	
Texas	82129	54024	49699	52927	57762	57947	52879	65467	63945	50552	
Utah	5394	2823	2908	3595	3848	3026	4314	4838	3775	3141	
Vermont	518	426	407	431	546	496	552	570	589	760	
Virginia	29949	24730	17815	13782	24224	22279	19646	18391	20437	21930	
Washington	18665	19853	16830	17317	17524	17589	12246	14341	21655	16030	
West Virginia	505	361	550	348	478	443	415	501	495	560	
Wisconsin	5200	3845	3864	4434	4379	4532	3770	3738	3825	3165	
Wyoming	245	186	229	228	220	242	217	257	233	247	
Other 1	1499	1051	590	1853	1120	983	838	895	1024	686	
Unknown	5907	5805	3770	6426	2777	2101	1150	1104	1353	4362	
1 Includes American Samoa, Northern Mariana Islands, U.S. Virgin Islands, and U.S. Armed Forces posts.	
Note: Based on N-400 data for persons aged 18 and over.	
Source: U.S. Department of Homeland Security.	
