Table 23.	
PERSONS NATURALIZED BY CORE BASED STATISTICAL AREA (CBSA) OF RESIDENCE: FISCAL YEARS 2008 TO 2017	
(Ranked by 2017 Naturalizations)	

Geographic area	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	
Total	1046539	743715	619913	694193	757434	779929	653416	730259	753060	707265	
New York-Newark-Jersey City, NY-NJ-PA	136076	113849	92307	100268	124946	137513	100257	113758	122156	112568	
Los Angeles-Long Beach-Anaheim, CA	138616	84059	51977	62373	65679	70188	57674	69017	61950	59356	
Miami-Fort Lauderdale-West Palm Beach, FL	89442	54202	42220	55559	68072	66925	52544	53448	59227	44520	
Washington-Arlington-Alexandria, DC-VA-MD-WV	40790	32790	24897	20621	31641	30097	24649	27084	29138	29682	
Chicago-Naperville-Elgin, IL-IN-WI	43548	26675	25053	27607	26941	26173	24617	24201	24907	23044	
Boston-Cambridge-Newton, MA-NH	22859	17428	17029	18834	18264	17383	17311	18385	19690	22002	
San Francisco-Oakland-Hayward, CA	37850	20954	21281	22046	20474	23506	19842	20620	23261	21352	
Riverside-San Bernardino-Ontario, CA	23626	19421	8724	12339	11530	11749	10525	13695	12113	16748	
San Diego-Carlsbad, CA	21152	12977	11473	12326	12876	14376	13695	14189	14764	16638	
Houston-The Woodlands-Sugar Land, TX	28270	18374	18338	18461	22050	22575	17547	25735	23858	15120	
Atlanta-Sandy Springs-Roswell, GA	16817	12654	15529	14344	14218	16763	13342	17105	15873	14045	
San Jose-Sunnyvale-Santa Clara, CA	24142	14201	13455	11303	11473	12974	10747	10904	11392	13908	
Dallas-Fort Worth-Arlington, TX	25215	17448	16599	16079	16935	16304	16581	19626	18780	11597	
Seattle-Tacoma-Bellevue, WA	12508	15038	12754	12819	12937	13064	8345	10119	16563	11042	
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	16720	14283	13453	13139	13036	13781	11140	12566	12468	10487	
Detroit-Warren-Dearborn, MI	10731	7494	8084	7516	7985	9434	9102	9612	9081	9172	
Phoenix-Mesa-Scottsdale, AZ	16867	7926	7336	9147	8922	9357	7238	9767	8386	7777	
Tampa-Saint Petersburg-Clearwater, FL	9623	7587	5786	7502	8081	8248	7092	6755	7121	6709	
Orlando-Kissimmee-Sanford, FL	11914	7181	6744	8578	8661	10294	6971	8297	8560	6645	
Minneapolis-Saint Paul-Bloomington, MN-WI	7849	7985	7928	9558	10282	8931	7776	6369	7016	6429	
Sacramento--Roseville--Arden-Arcade, CA	11357	6378	6103	7899	10626	7816	7081	6710	7522	6277	
Las Vegas-Henderson-Paradise, NV	11058	7357	5724	7291	6532	7347	6814	6765	7753	6207	
Baltimore-Columbia-Towson, MD	6919	5296	5150	5026	4805	5367	4334	5728	6483	5746	
Portland-Vancouver-Hillsboro, OR-WA	7776	4818	4611	5181	5369	5282	3969	5486	6265	5486	
Austin-Round Rock, TX	4706	2827	2953	3528	3472	3533	3727	4010	4157	5170	
Columbus, OH	4019	2745	3076	3458	3897	4267	3407	3668	4024	4837	
San Antonio-New Braunfels, TX	5386	2594	2457	3333	3252	3412	3388	3606	3935	4705	
Providence-Warwick, RI-MA	5536	3470	2819	3538	3771	3613	3373	3740	3706	4646	
Charlotte-Concord-Gastonia, NC-SC	2908	4696	2908	3306	3537	3958	3391	3604	4237	4631	
Denver-Aurora-Lakewood, CO	8047	4497	4751	5198	5101	4184	4055	6539	6023	4084	
El Paso, TX	4458	3533	1987	2573	2748	2658	2575	2720	3119	4003	
Raleigh, NC	1553	4114	2558	2875	2823	2672	2616	2730	2852	3580	
Indianapolis-Carmel-Anderson, IN	2099	1791	1855	1885	1732	2020	2120	2229	2559	3380	
Bridgeport-Stamford-Norwalk, CT	3534	3930	2732	3244	3272	3700	3211	3825	3738	3046	
Kansas City, MO-KS	3247	2432	2195	2223	2445	2284	2146	2354	2592	2957	
Worcester, MA-CT	2652	2130	2329	2069	2239	2012	2222	2463	2502	2876	
Urban Honolulu, HI	4082	2950	2551	2684	2418	2673	2248	2755	2814	2851	
Saint Louis, MO-IL	3525	2547	2530	2492	2602	2714	2265	2104	2193	2683	
Bakersfield, CA	3961	1951	1492	2098	1677	2372	1885	2148	1863	2650	
Fresno, CA	5133	2396	2152	3432	4383	2938	2252	2668	2355	2631	
Cleveland-Elyria, OH	2975	2173	2122	2135	2213	2374	1942	2027	1996	2521	
Cincinnati, OH-KY-IN	2036	1351	1690	1853	1848	1902	1691	1749	1933	2517	
Jacksonville, FL	3208	2305	2859	2930	2865	2658	2497	2363	2372	2479	
San Juan-Carolina-Caguas, PR	2353	1132	1188	1560	2027	2245	2287	2591	2324	2440	
Tucson, AZ	3299	1773	1544	1797	2104	1754	2007	2011	1566	2438	
Hartford-West Hartford-East Hartford, CT	3142	3323	2466	2614	2570	2885	2762	3231	3019	2409	
McAllen-Edinburg-Mission, TX	3038	2030	1254	1775	1751	1690	1872	1888	1978	2345	
Oxnard-Thousand Oaks-Ventura, CA	5235	3371	1823	2134	1949	2372	2060	2409	2211	2216	
Richmond, VA	2365	1623	1679	1775	2029	2199	2116	1886	2292	2202	
Pittsburgh, PA	1619	1154	1343	1464	1432	1365	1496	1496	2164	2183	
Other CBSAs	165166	125298	108773	126612	134954	135142	121391	133773	135954	131248	
Other metropolitan areas	147679	111518	97340	112939	120617	120793	108624	119355	121019	116884	
Other micropolitan areas	17487	13780	11433	13673	14337	14349	12767	14418	14935	14364	
Non-CBSA	9633	7404	5503	7368	7208	6786	6071	6627	6901	6617	
Unknown	5899	5800	3769	6424	2780	2100	1150	1104	1354	4363	
Note: Based on N-400 data for persons aged 18 and over. Metropolitan areas defined based on the 2015 update of Core Based Statistical Areas (CBSAs) definitions. As a result, numbers for previous years may differ from previously published figures. The most current CBSA definitions are available from the U.S. Census Bureau at https://www.census.gov/programs-surveys/metro-micro.html.	
Source: U.S. Department of Homeland Security.	
