Table 26.	
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEARS 2008 TO 2017	

Region and country of citizenship	2008	2009	20101	2011	2012	2013	2014	2015	20162	2017	
REGION	
Total	39381928	36231554	46471569	53082286	53887286	61052260	74930606	76638236	77112073	77643267	
Africa	474160	452693	485110	508489	573184	645919	757181	792026	816541	809114	
Asia	8795236	7820986	9404375	10027386	11062760	12230911	13307053	14025173	14751353	15154164	
Europe	15931641	14559083	14692093	15481558	15710015	16167460	17376449	17340542	17742391	17889171	
North America	9832557	8963282	16449861	20940354	19996738	24561055	35589531	36312759	35693733	35375881	
Oceania	1127444	1065909	1290993	1513963	1618337	1770569	1822066	1859507	1906888	1970630	
South America	3039883	3075013	3587883	4126385	4651162	5511558	6052610	6256760	6039711	6349041	
Unknown	181007	294588	561254	484151	275090	164788	25716	51469	161456	95266	
COUNTRY	
Total	39381928	36231554	46471569	53082286	53887286	61052260	74930606	76638236	77112073	77643267	
Afghanistan	2323	2616	2589	2856	2772	2837	4150	4334	4519	3581	
Albania	9939	8768	8921	8065	7942	7889	8746	9992	12883	17056	
Algeria	6215	6491	6319	7545	8402	9558	12465	13623	14427	15242	
Andorra	1295	977	1152	1217	1176	1271	1611	1344	1638	1720	
Angola	6509	7147	7557	8293	10592	12617	14715	13787	10281	9603	
Antigua and Barbuda	22649	18743	18563	17076	16958	15151	14834	15022	17540	15893	
Argentina	383803	395781	482637	566010	646929	744864	768469	806698	986574	1129997	
Armenia	5694	5412	5282	4910	6135	7431	8232	8654	10701	13774	
Australia3	867121	834000	1037672	1246091	1331669	1453814	1480176	1499354	1529052	1576901	
Austria	201070	201339	209633	219476	232276	237429	247122	235601	240182	237611	
Azerbaijan	4591	4938	5596	5623	6464	7162	7347	8419	8577	9104	
Bahamas	332571	282172	276899	254335	251759	244650	240451	249276	276734	304752	
Bahrain	5287	4500	5549	5560	6181	7341	8849	9313	9663	8767	
Bangladesh	13758	15368	18034	19348	22629	30314	43560	43938	44211	40120	
Barbados	65434	57993	62971	60445	59032	58558	61052	62214	68630	69318	
Belarus	10719	10214	12287	12141	13715	14211	16166	17486	21673	22589	
Belgium	306492	281736	293762	306730	310111	315611	334279	327654	319549	325897	
Belize	26747	25867	25081	23273	24184	25327	26577	28160	31564	31340	
Benin	2910	2585	2804	2887	3056	2821	3266	3473	3420	3330	
Bhutan	801	578	660	613	662	633	1034	1215	1069	1156	
Bolivia	41622	40408	44761	43893	44658	50838	55100	65089	74813	76933	
Bosnia and Herzegovina	7190	6170	5838	6492	6843	7465	9380	9699	10355	11020	
Botswana	2564	2349	2386	2587	2580	2381	2623	2914	2904	3105	
Brazil	893186	959448	1233457	1539015	1792425	2143154	2390245	2505525	1991441	2147412	
Brunei	1216	1110	1217	1448	1747	2022	2106	1880	1675	1479	
Bulgaria	41793	35871	35456	38974	39100	40029	43059	43247	44935	43815	
Burkina Faso	2767	2862	3004	3051	3682	3928	5267	6432	7473	6002	
Burma	2515	2937	3383	3632	3983	4967	6554	7583	9541	11502	
Burundi	1052	960	1182	1230	1424	1740	1732	1772	1678	2106	
Cabo Verde	2966	2918	2727	1943	1520	3140	4544	4451	5636	5317	
Cambodia	3953	3652	3660	3352	3628	4898	4752	3756	5710	5947	
Cameroon	9517	9329	9832	9423	9495	9639	11673	13070	15009	15676	
Canada4	285359	291642	1428931	1868179	1466120	4445881	13254972	13408292	13019782	13028998	
Central African Republic	299	253	282	213	202	189	374	342	355	385	
Chad	522	541	441	456	436	550	1190	1176	1142	1195	
Chile	169166	152676	174645	203206	209144	245792	279754	354366	403463	423098	
China, People's Republic5	753037	729931	1038271	1364078	1756747	2098801	2555896	2935175	3280179	3383133	
Colombia	527451	511071	592362	613354	669392	830891	985073	990683	953931	994978	
Comoros	106	92	90	114	123	158	247	197	187	206	
Congo, Democratic Republic	1269	1401	1506	1276	1430	3861	6973	7321	8402	8343	
