Table 32.	
NONIMMIGRANT TEMPORARY WORKER ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF CITIZENSHIP: FISCAL YEAR 2017	

Region and country of citizenship	Total temporary workers and families1	Workers in specialty occupations	Seasonal agricultural workers	Seasonal non-agricultural workers	Workers with extraordinary ability/ achievement	Athletes, artists, and entertainers	Intracompany transferees	Treaty traders and investors	Other	
(H1B)	(H2A)	(H2B, H2R)2	(O1, O2)	(P1 to P3)	(L1)	(E1 to E3)3	
REGION	
Total	3969276	531280	412820	124330	142175	131220	687096	496936	1443419	
Africa	27893	5705	2900	1673	1485	1913	6513	407	7297	
Asia	998111	364988	118	913	12690	10833	160403	137548	310618	
Europe	686366	58679	729	2769	75615	25669	217478	164346	141081	
North America	2024817	77178	407823	118408	34845	83479	239954	131019	932111	
Oceania	87381	2955	169	122	8064	2284	15234	47815	10738	
South America	142146	21226	1066	302	9214	6879	46957	15546	40956	
Unknown	2562	549	15	143	262	163	557	255	618	
COUNTRY	
Total	3969276	531280	412820	124330	142175	131220	687096	496936	1443419	
Afghanistan	25	4	-	-	D	3	3	D	12	
Albania	568	288	-	-	24	106	41	30	79	
Algeria	284	63	-	-	D	35	101	D	79	
Andorra	75	18	-	-	6	-	10	-	41	
Angola	338	12	-	-	35	13	138	3	137	
Antigua and Barbuda	136	29	-	D	D	55	17	-	26	
Argentina	23073	2021	14	40	1791	1414	6632	5715	5446	
Armenia	592	88	-	-	109	101	49	68	177	
Australia4	79538	2098	46	49	6583	1868	12434	47734	8726	
Austria	9059	716	D	D	821	483	3321	2097	1602	
Azerbaijan	251	48	-	-	16	11	40	39	97	
Bahamas	750	320	-	-	16	94	145	29	146	
Bahrain	102	35	-	-	8	D	44	D	12	
Bangladesh	1223	407	-	-	18	31	279	13	475	
Barbados	430	113	-	5	118	84	53	-	57	
Belarus	1392	151	-	-	135	147	443	13	503	
Belgium	13164	885	D	D	1384	368	4969	2556	2998	
Belize	446	80	18	304	7	7	8	-	22	
Benin	65	30	-	-	D	D	15	-	14	
Bhutan	24	6	-	-	-	-	-	5	13	
Bolivia	1035	358	-	-	42	40	267	35	293	
Bosnia and Herzegovina	302	72	-	-	16	80	51	22	61	
Botswana	82	29	D	-	4	D	22	-	23	
Brazil	55569	5548	26	120	2401	1239	25205	1248	19782	
Brunei	27	D	-	-	-	-	17	-	D	
Bulgaria	2482	636	9	137	173	139	563	457	368	
Burkina Faso	100	40	-	-	D	15	7	D	35	
Burma	152	45	-	-	3	15	20	5	64	
