State,2016,2017
Alaska,17,145
Alabama,177,1294
Arkansas,401,2028
American Samoa,0,0
Arizona,1350,7003
California,13866,85904
Colorado,722,4836
Connecticut,1044,6032
District of Columbia,482,3025
Delaware,492,2505
Florida,2345,16314
Micronesia,0,1
Georgia,2623,17201
Guam,59,232
Hawaii,53,359
Iowa,401,2251
Idaho,110,649
Illinois,3909,24216
Indiana,711,4517
Kansas,339,2039
Kentucky,355,2008
Louisiana,280,1333
Massachusetts,2963,18419
Maryland,1399,7643
Maine,101,489
Michigan,2210,15153
Minnesota,1417,7750
Missouri,898,6060
Northern Mariana Islands,51,212
Mississippi,90,547
Montana,18,135
National,0,0
North Carolina,2592,12297
North Dakota,53,330
Nebraska,250,1597
New Hampshire,161,1089
New Jersey,5026,31761
New Mexico,91,644
Nevada,152,1037
New York,5680,38888
Ohio,1954,11646
Oklahoma,169,1310
Oregon,593,3430
Pennsylvania,2751,15928
Puerto Rico,15,510
Palau,1,1
Rhode Island,315,1833
South Carolina,376,2112
South Dakota,39,212
Tennessee,865,5140
Texas,7021,50048
Utah,388,2169
Virginia,2121,13328
Virgin Islands,5,39
Vermont,40,315
Washington,3645,18262
Wisconsin,843,4874
West Virginia,80,312
Wyoming,19,81
