Education,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
No Diploma,168,184,234,235,487,164,101,83,69,50,41
High School Graduate,771,502,469,433,724,377,301,261,188,145,120
Some College Credit (Less than 1 year),148,106,97,74,87,70,46,54,33,28,18
One or More Years of College (No Degree),878,594,606,606,549,597,402,385,285,252,204
Associates Degree,726,574,652,532,404,471,376,273,269,225,201
Bachelor's Degree,"143,937","122,941","104,511","109,478","112,334","146,174","136,453","146,368","170,865","180,077","170,046"
Master's Degree,"121,987","116,561","97,703","96,163","113,284","122,325","125,052","141,470","159,828","180,961","197,046"
Professional Degree,"14,677","13,353","13,225","13,387","13,279","12,625","12,206","12,001","11,812","11,880","11,474"
Doctorate Degree,"31,212","30,576","28,538","27,290","27,130","25,188","24,671","24,995","25,188","25,602","24,723"
Other,117,84,91,74,134,251,82,81,315,129,214
